gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,16,512,4096,ck,8,0,13.2298,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.07,164.71,0.0
gfx942,304,32,512,4096,ck,8,0,14.3027,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.38,158.08,0.0
gfx942,304,48,512,4096,ck,8,0,13.7671,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.62,170.18,0.0
gfx942,304,64,512,4096,ck,8,0,14.4819,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.54,167.44,0.0
gfx942,304,80,512,4096,ck,8,0,14.1493,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.71,177.16,0.0
gfx942,304,96,512,4096,ck,8,0,13.6714,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,29.45,189.35,0.0
gfx942,304,112,512,4096,ck,8,0,14.4771,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,32.45,184.47,0.0
gfx942,304,128,512,4096,ck,8,0,14.1889,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.84,193.99,0.0
gfx942,304,144,512,4096,ck,8,0,14.3093,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,42.21,198.08,0.0
gfx942,304,160,512,4096,ck,8,0,14.4955,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.3,201.19,0.0
gfx942,304,176,512,4096,ck,8,0,14.4897,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.95,206.92,0.0
gfx942,304,192,512,4096,ck,8,0,14.4313,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,55.8,213.44,0.0
gfx942,304,208,512,4096,ck,8,0,14.1789,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,61.53,223.02,0.0
gfx942,304,224,512,4096,ck,8,0,14.5562,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,64.54,222.86,0.0
gfx942,304,240,512,4096,ck,8,0,14.22,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,70.79,233.89,0.0
gfx942,304,256,512,4096,ck,8,0,14.2354,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,75.43,239.39,0.0
gfx942,304,288,512,4096,ck,8,0,14.3637,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,84.1,248.66,0.0
gfx942,304,320,512,4096,ck,8,0,14.3145,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,93.76,260.96,0.0
gfx942,304,352,512,4096,ck,8,0,14.5898,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.19,267.27,0.0
gfx942,304,384,512,4096,ck,8,0,14.5242,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,110.89,279.76,0.0
gfx942,304,416,512,4096,ck,8,0,14.4874,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,120.44,291.78,0.0
gfx942,304,448,512,4096,ck,8,0,14.8112,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.87,296.46,0.0
gfx942,304,480,512,4096,ck,8,0,14.7659,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,136.35,308.46,0.0
gfx942,304,512,512,4096,ck,8,0,14.9662,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,143.49,315.28,0.0
gfx942,304,768,512,4096,ck,18,0,18.4147,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,174.93,327.42,0.0
gfx942,304,800,512,4096,ck,18,0,19.982,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,167.92,309.94,0.0
gfx942,304,832,512,4096,ck,18,0,18.458,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,189.06,344.4,0.0
gfx942,304,864,512,4096,ck,18,0,20.0442,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,180.79,325.32,0.0
gfx942,304,896,512,4096,ck,18,0,18.4272,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,203.94,362.76,0.0
gfx942,304,928,512,4096,ck,18,0,19.9925,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,194.69,342.55,0.0
gfx942,304,960,512,4096,ck,18,0,18.6774,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,215.58,375.45,0.0
gfx942,304,992,512,4096,ck,18,0,20.0399,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,207.62,358.1,0.0
gfx942,304,1024,512,4096,ck,18,0,18.6444,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,230.36,393.69,0.0
gfx942,304,1088,512,4096,ck,18,0,18.8031,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,242.69,407.79,0.0
gfx942,304,1152,512,4096,ck,18,0,19.1526,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,252.28,417.46,0.0
gfx942,304,1216,512,4096,ck,18,0,19.1358,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,266.53,434.95,0.0
gfx942,304,1280,512,4096,ck,18,0,18.6986,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,287.12,462.64,0.0
gfx942,304,1344,512,4096,ck,18,0,18.8507,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,299.04,476.29,0.0
gfx942,304,1408,512,4096,ck,18,0,18.9338,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,311.91,491.51,0.0
gfx942,304,1472,512,4096,ck,18,0,19.1434,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,322.51,503.24,0.0
gfx942,304,1536,512,4096,ck,18,0,18.6984,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,344.55,532.74,0.0
gfx942,304,1600,512,4096,ck,18,0,19.088,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,351.58,539.04,0.0
