M,N,K
16,512,4096
32,512,4096
48,512,4096
64,512,4096
80,512,4096
96,512,4096
112,512,4096
128,512,4096
144,512,4096
160,512,4096
176,512,4096
192,512,4096
208,512,4096
224,512,4096
240,512,4096
256,512,4096
288,512,4096
320,512,4096
352,512,4096
384,512,4096
416,512,4096
448,512,4096
480,512,4096
512,512,4096
736,512,4096
768,512,4096
800,512,4096
832,512,4096
864,512,4096
896,512,4096
928,512,4096
960,512,4096
992,512,4096
1024,512,4096
1088,512,4096
1152,512,4096
1216,512,4096
1280,512,4096
1344,512,4096
1408,512,4096
1472,512,4096
1536,512,4096
1600,512,4096
1664,512,4096
1728,512,4096
1792,512,4096
1856,512,4096
1920,512,4096
1984,512,4096
2048,512,4096
2112,512,4096
2176,512,4096
2240,512,4096
2304,512,4096
2368,512,4096
2432,512,4096
2496,512,4096
2560,512,4096
2624,512,4096
2688,512,4096
2752,512,4096
2816,512,4096
2880,512,4096
2944,512,4096
3008,512,4096
3072,512,4096
3136,512,4096
3200,512,4096
3264,512,4096
3328,512,4096
3456,512,4096
3648,512,4096
3712,512,4096
3840,512,4096
4032,512,4096
4224,512,4096
4352,512,4096
7296,512,4096
8192,512,4096
8320,512,4096
13952,512,4096
15488,512,4096
16384,512,4096
16,1024,4096
32,1024,4096
48,1024,4096
64,1024,4096
80,1024,4096
96,1024,4096
112,1024,4096
128,1024,4096
144,1024,4096
160,1024,4096
176,1024,4096
192,1024,4096
208,1024,4096
224,1024,4096
240,1024,4096
256,1024,4096
288,1024,4096
320,1024,4096
352,1024,4096
384,1024,4096
416,1024,4096
448,1024,4096
480,1024,4096
512,1024,4096
544,1024,4096
640,1024,4096
768,1024,4096
800,1024,4096
832,1024,4096
864,1024,4096
896,1024,4096
928,1024,4096
960,1024,4096
992,1024,4096
1024,1024,4096
1088,1024,4096
1152,1024,4096
1216,1024,4096
1280,1024,4096
1344,1024,4096
1408,1024,4096
1472,1024,4096
1536,1024,4096
1600,1024,4096
1664,1024,4096
1728,1024,4096
1792,1024,4096
1856,1024,4096
1920,1024,4096
1984,1024,4096
2048,1024,4096
2112,1024,4096
2176,1024,4096
2240,1024,4096
2304,1024,4096
2368,1024,4096
2432,1024,4096
2496,1024,4096
2560,1024,4096
2624,1024,4096
2688,1024,4096
2752,1024,4096
2816,1024,4096
2880,1024,4096
2944,1024,4096
3008,1024,4096
3072,1024,4096
3136,1024,4096
3200,1024,4096
3264,1024,4096
3328,1024,4096
3392,1024,4096
3584,1024,4096
3648,1024,4096
3968,1024,4096
4096,1024,4096
4224,1024,4096
4736,1024,4096
5120,1024,4096
7296,1024,4096
8192,1024,4096
8320,1024,4096
13952,1024,4096
15488,1024,4096
16384,1024,4096
16,2048,4096
32,2048,4096
48,2048,4096
64,2048,4096
80,2048,4096
96,2048,4096
112,2048,4096
128,2048,4096
144,2048,4096
160,2048,4096
176,2048,4096
192,2048,4096
208,2048,4096
224,2048,4096
240,2048,4096
256,2048,4096
288,2048,4096
320,2048,4096
352,2048,4096
384,2048,4096
416,2048,4096
448,2048,4096
480,2048,4096
512,2048,4096
544,2048,4096
672,2048,4096
736,2048,4096
768,2048,4096
800,2048,4096
832,2048,4096
864,2048,4096
896,2048,4096
928,2048,4096
960,2048,4096
992,2048,4096
1024,2048,4096
1088,2048,4096
1152,2048,4096
1216,2048,4096
1280,2048,4096
1344,2048,4096
1408,2048,4096
1472,2048,4096
1536,2048,4096
1600,2048,4096
1664,2048,4096
1728,2048,4096
1792,2048,4096
1856,2048,4096
1920,2048,4096
1984,2048,4096
2048,2048,4096
2112,2048,4096
2176,2048,4096
2240,2048,4096
2304,2048,4096
2368,2048,4096
2432,2048,4096
2496,2048,4096
2560,2048,4096
2624,2048,4096
2688,2048,4096
2752,2048,4096
2816,2048,4096
2880,2048,4096
2944,2048,4096
3008,2048,4096
3072,2048,4096
3136,2048,4096
3264,2048,4096
3456,2048,4096
3584,2048,4096
3648,2048,4096
3776,2048,4096
3840,2048,4096
3904,2048,4096
3968,2048,4096
4096,2048,4096
5120,2048,4096
7296,2048,4096
8192,2048,4096
8320,2048,4096
13952,2048,4096
15488,2048,4096
16384,2048,4096
16,3072,4096
32,3072,4096
48,3072,4096
64,3072,4096
80,3072,4096
