M,N,K,q_dtype_w
1,2112,7168,torch.float8_e4m3fn
1,6144,1536,torch.float8_e4m3fn
1,7168,4096,torch.float8_e4m3fn
1,7168,16384,torch.float8_e4m3fn
1,24576,1536,torch.float8_e4m3fn
2,2112,7168,torch.float8_e4m3fn
2,6144,1536,torch.float8_e4m3fn
2,7168,4096,torch.float8_e4m3fn
2,7168,16384,torch.float8_e4m3fn
2,24576,1536,torch.float8_e4m3fn
4,2112,7168,torch.float8_e4m3fn
4,6144,1536,torch.float8_e4m3fn
4,7168,4096,torch.float8_e4m3fn
4,7168,16384,torch.float8_e4m3fn
4,24576,1536,torch.float8_e4m3fn
8,2112,7168,torch.float8_e4m3fn
8,6144,1536,torch.float8_e4m3fn
8,7168,4096,torch.float8_e4m3fn
8,7168,16384,torch.float8_e4m3fn
8,24576,1536,torch.float8_e4m3fn
16,2112,7168,torch.float8_e4m3fn
16,6144,1536,torch.float8_e4m3fn
16,7168,4096,torch.float8_e4m3fn
16,7168,16384,torch.float8_e4m3fn
16,24576,1536,torch.float8_e4m3fn
32,2112,7168,torch.float8_e4m3fn
32,6144,1536,torch.float8_e4m3fn
32,7168,4096,torch.float8_e4m3fn
32,7168,16384,torch.float8_e4m3fn
32,24576,1536,torch.float8_e4m3fn
48,2112,7168,torch.float8_e4m3fn
48,6144,1536,torch.float8_e4m3fn
48,7168,4096,torch.float8_e4m3fn
48,7168,16384,torch.float8_e4m3fn
48,24576,1536,torch.float8_e4m3fn
64,2112,7168,torch.float8_e4m3fn
64,6144,1536,torch.float8_e4m3fn
64,7168,4096,torch.float8_e4m3fn
64,7168,16384,torch.float8_e4m3fn
64,24576,1536,torch.float8_e4m3fn
128,2112,7168,torch.float8_e4m3fn
128,6144,1536,torch.float8_e4m3fn
128,7168,4096,torch.float8_e4m3fn
128,7168,16384,torch.float8_e4m3fn
128,24576,1536,torch.float8_e4m3fn
256,2112,7168,torch.float8_e4m3fn
256,6144,1536,torch.float8_e4m3fn
256,7168,4096,torch.float8_e4m3fn
256,7168,16384,torch.float8_e4m3fn
256,24576,1536,torch.float8_e4m3fn
512,2112,7168,torch.float8_e4m3fn
512,6144,1536,torch.float8_e4m3fn
512,7168,4096,torch.float8_e4m3fn
512,7168,16384,torch.float8_e4m3fn
512,8192,512,torch.float8_e4m3fn
512,24576,1536,torch.float8_e4m3fn
512,32768,512,torch.float8_e4m3fn
1025,2112,7168,torch.float8_e4m3fn
1025,6144,1536,torch.float8_e4m3fn
1025,7168,4096,torch.float8_e4m3fn
1025,7168,16384,torch.float8_e4m3fn
1025,8192,512,torch.float8_e4m3fn
1025,24576,1536,torch.float8_e4m3fn
1025,32768,512,torch.float8_e4m3fn
3075,2112,7168,torch.float8_e4m3fn
3075,6144,1536,torch.float8_e4m3fn
3075,7168,4096,torch.float8_e4m3fn
3075,8192,512,torch.float8_e4m3fn
15375,2112,7168,torch.float8_e4m3fn
15375,6144,1536,torch.float8_e4m3fn
15375,7168,4096,torch.float8_e4m3fn
15375,7168,16384,torch.float8_e4m3fn
15375,8192,512,torch.float8_e4m3fn
15375,24576,1536,torch.float8_e4m3fn
15375,32768,512,torch.float8_e4m3fn
16384,2112,7168,torch.float8_e4m3fn
