gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.3866,sol2,0.0,0.84,840.03
gfx950,256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,312,7,5.1366,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x7_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0137,1.43,720.26
gfx950,256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,299,8,5.0407,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0303,2.91,739.86
gfx950,256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,315,8,5.1061,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x7_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0205,5.75,742.01
gfx950,256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,495,8,5.3978,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0232,10.88,723.92
gfx950,256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,142,7,5.8343,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x9_ks7_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0192,20.13,710.48
gfx950,256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,283,8,6.2255,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0215,28.3,703.99
gfx950,256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,296,7,6.4059,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x6_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0206,36.67,721.26
gfx950,256,80,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3029,7,6.7672,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0212,43.39,717.85
gfx950,256,96,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3044,7,6.9218,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0209,50.9,736.14
gfx950,256,112,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3044,7,7.0816,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0211,58.04,753.08
gfx950,256,128,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3007,7,7.3538,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks7_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0203,63.88,757.51
gfx950,256,256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3722,8,9.089,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x9_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0223,103.37,821.99
gfx950,256,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,419,7,8.458,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x3_ks7_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0166,3.58,3581.96
gfx950,256,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,442,7,8.4404,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0159,7.17,3591.63
gfx950,256,80,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5064,7,13.892,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x5_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.019,174.36,2286.38
