gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx942,304,1,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,61.8026,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,39.6476,flydsl_moe2_abf16_wint4_bf16_t16x128x128_reduce,0.8%,101.4502,0,0,0,9.77,18232.61
gfx942,304,2,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,106.0583,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,59.7415,flydsl_moe2_abf16_wint4_bf16_t16x128x256_reduce,1.2%,165.7998,0,0,0,11.95,11156.33
gfx942,304,3,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,141.776,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,77.2294,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,7.1%,219.0054,0,0,0,13.57,8446.05
gfx942,304,4,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,183.0424,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,94.557,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,6.7%,277.5994,0,0,0,14.28,6663.36
gfx942,304,8,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,262.4265,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,139.6104,flydsl_moe2_abf16_wint4_bf16_t16x128x256_reduce,1.6%,402.0369,0,0,0,19.72,4601.08
gfx942,304,16,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,347.0985,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,177.0296,flydsl_moe2_abf16_wint4_bf16_t16x128x256_reduce,1.6%,524.1281,0,0,0,30.25,3529.51
gfx942,304,32,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,372.7122,flydsl_moe1_abf16_wint4_bf16_t16x128x128,0.0%,193.3699,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,7.3%,566.0821,0,0,0,56.01,3268.34
gfx942,304,64,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,384.1941,flydsl_moe1_abf16_wint4_bf16_t16x128x128,0.0%,197.2623,flydsl_moe2_abf16_wint4_bf16_t16x128x256_reduce,1.7%,581.4564,0,0,0,109.07,3182.71
gfx942,304,128,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,457.8407,flydsl_moe1_abf16_wint4_bf16_t32x128x128,0.0%,237.205,flydsl_moe2_abf16_wint4_bf16_t32x128x128_reduce,1.7%,695.0457,0,0,0,182.49,2663.89
gfx942,304,256,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,713.2946,flydsl_moe1_abf16_wint4_bf16_t32x128x128_bnt0,0.0%,355.4018,flydsl_moe2_abf16_wint4_bf16_t32x128x128_reduce,1.7%,1068.6964,0,0,0,237.37,1734.22
