gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,25.5888,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu_xcd4,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_sbm16,1.1%,25.5888,0,0,0,5.53,71363.78,
gfx950,256,2,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.8849,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu_xcd4,1.2%,0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,1.2%,26.8849,0,0,0,10.53,67924.08,
gfx950,256,4,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,33.6015,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu_xcd4,1.1%,0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,1.1%,33.6015,0,0,0,16.85,54347.84,
gfx950,256,8,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,45.7793,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_nt_sbm16,1.2%,45.7793,0,0,0,24.74,39892.32,
gfx950,256,16,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,76.1561,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_sbm16,1.2%,76.1561,0,0,0,29.74,23982.19,
gfx950,256,32,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,123.9929,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_nt_sbm16,1.2%,123.9929,0,0,0,36.53,14732.17,
gfx950,256,64,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,141.2112,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_nt_sbm16,1.2%,141.2112,0,0,0,64.16,12940.01,
gfx950,256,128,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,163.6924,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x256_atomic_nt_sbm16,1.2%,163.6924,0,0,0,110.69,11174.87,
gfx950,256,2,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.1913,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu_xcd4,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,26.1913,0,0,0,5.4,34862.13,
gfx950,256,4,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,27.0969,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu_xcd4,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,1.2%,27.0969,0,0,0,10.45,33698.37,
